,,,, litres of water/ kg or litres of food commodity,,,,,,,,,,,,,,,,
FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY sub-TYPOLOGY,FOOD COMMODITY ITEM,n,mean,median,st.dev,min,max,MAD,Q1,Q3,CV,skewness,kurtosis,Shapiro Wilk test P,FLAG 1 (SIZE),FLAG 2 (outlier),FLAG 3 (adherence to the normal distribution),Suggested CF value to represent food commodity
ANIMAL HUSBANDRY,PORK CURED MEAT,-,CURED HAM WITH BONE,1,5798,5798,-,5798,5798,-,5798,5798,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,PORK CURED MEAT,-,CURED PORK BONE FREE,1,6238,6238,-,6238,6238,-,6238,6238,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,PORK CURED MEAT,-,CURED SHOULDERS WITH BONE,1,5798,5798,-,5798,5798,-,5798,5798,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,PORK CURED MEAT,-,SAUSAGES,1,15600,15600,-,15600,15600,-,15600,15600,-,-,-,n.a,R,R,R,typology
ANIMAL HUSBANDRY,PORK MEAT WITH BONE,-,FRESH HAM WITH BONE,1,5677,5677,-,5677,5677,-,5677,5677,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,PORK MEAT WITH BONE,-,FRESH SHOULDERS WITH BONE,1,5677,5677,-,5677,5677,-,5677,5677,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,PORK MEAT WITH BONE,-,PORK CUTS WITH BONE,1,5798,5798,-,5798,5798,-,5798,5798,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,PORK MEAT WITH BONE,-,PORK MEAT WITH BONE,1,4361,4361,-,4361,4361,-,4361,4361,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,-,CHICKEN BONE FREE MEAT,21,4888,3960,3118,1746,14898,1514,2919,5659,0.6,1.699,5.718,0.001,G*,R,R,ok item
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,-,DUCK BONE FREE MEAT,1,4325,4325,-,4325,4325,-,4325,4325,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,-,GOOSE BONE FREE MEAT,1,4325,4325,-,4325,4325,-,4325,4325,-,-,-,n.a,G*,G,R,ok item
