,,,,,kg CO2 eq/ kg or litre food commodity,,,,,,,,,,,,,,,
FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY sub-TYPOLOGY,FOOD COMMODITY ITEM,n,mean,median,st.dev.,min,max,MAD,Q1,Q3,CV,skewness,kurtosis,Shapiro Wilk test P,FLAG 1 (SIZE),FLAG 2 (outlier),FLAG 3 (adherence to the normal distribution),Suggested CF value to represent food commodity
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,-,CHICKEN BONE FREE MEAT,100,4.24,3.68,2.07,1.06,16.29,0.94,2.78,5.35,0.49,2.377,12.862,0.000,G,G,R,ITEM
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,-,EMU BONE FREE MEAT,1,1.50,1.50,-,1.50,1.50,-,1.50,1.50,-,-,-,n.a.,R,R,R,TYPOLOGY
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,,DUCK MEAT BONE FREE,1,4.10,4.10,-,4.10,4.10,-,4.10,4.10,-,-,-,,R,G,R,TYPOLOGY
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,,TURKEY MEAT BONE FREE,12,5.11,4.08,1.98,2.81,8.49,0.52,3.73,7.26,0.39,0.672,1.709,0.010,G,G,Y,ITEM or TYPOLOGY
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,-,CHICKEN MEAT WITH BONE,98,3.25,2.82,1.55,0.85,12.57,0.71,2.17,4.14,0.48,2.513,14.454,0.000,G,G,R,ITEM
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,-,DUCK MEAT WITH BONE,1,2.07,2.07,-,2.07,2.07,-,2.07,2.07,-,-,-,n.a.,R,G,R,TYPOLOGY
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,-,TURKEY MEAT WITH BONE,6,2.08,2.13,0.26,1.58,2.35,0.17,1.98,2.29,0.13,-0.791,2.415,0.357,Y,G,G,ITEM
ANIMAL HUSBANDRY,RABBIT MEAT WITH BONE*,-,RABBIT MEAT WITH BONE*,2,4.31,4.31,1.28,3.03,5.58,1.28,3.67,4.94,0.30,-,-,-,R,n.a,R,ITEM matching with TYPOLOGY
ANIMAL HUSBANDRY,SNAILS*,-,SNAILS*,1,0.73,0.73,-,0.73,0.73,-,0.73,0.73,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
ANIMAL HUSBANDRY,YOGURT,-,YOGURT FLAVOURED**,14,2.81,2.85,0.36,2.16,3.85,0.13,2.62,2.92,0.13,1.149,5.608,0.024,G,G,Y,ITEM
ANIMAL HUSBANDRY,YOGURT,-,YOGURT LACTOSE FREE,4,3.16,3.47,0.55,2.20,3.50,0.02,3.15,3.49,0.18,-1.152,2.332,0.003,Y,G,R,ITEM or TYPOLOGY
ANIMAL HUSBANDRY,YOGURT,-,YOGURT WHITE,20,2.10,1.69,0.98,1.17,4.07,0.41,1.31,2.42,0.47,1.006,2.503,0.001,G,G,R,ITEM
CROPS,COFFEE GREEN*,-,COFFEE GREEN*,8,0.49,0.49,0.14,0.29,0.71,0.09,0.40,0.55,0.28,0.355,2.085,0.310,Y,G,G,ITEM
CROPS,DRIED FRUIT,-,DATE,2,0.60,0.60,0.28,0.32,0.88,0.28,0.46,0.74,0.47,-,-,-,R,G,R,TYPOLOGY
CROPS,DRIED FRUIT,-,RAISIN,5,0.66,0.81,0.20,0.36,0.84,0.03,0.47,0.81,0.31,-0.489,1.365,0.084,Y,G,G,ITEM
CROPS,FRUIT HEATED GREENHOUSE,-,EXOTIC FRUIT (G),1,2.43,2.43,-,2.43,2.43,-,2.43,2.43,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,FRUIT HEATED GREENHOUSE,-,RASPBERRY (G),2,7.35,7.35,0.05,7.30,7.40,0.05,7.33,7.38,0.01,-,-,-,R,G,R,TYPOLOGY
CROPS,FRUIT HEATED GREENHOUSE,-,STRAWBERRY (G),4,2.94,2.88,1.77,0.84,5.17,1.65,1.44,4.39,0.60,0.050,1.257,0.539,Y,G,G,ITEM
CROPS,FRUIT IMPORTED,-,AVOCADO (I),4,1.00,1.09,0.38,0.43,1.38,0.25,0.77,1.32,0.38,-0.464,1.625,0.486,Y,G,G,ITEM
CROPS,FRUIT IMPORTED,-,BANANA (I),20,0.81,0.82,0.28,0.42,1.37,0.27,0.52,1.05,0.35,0.208,1.885,0.260,G,G,G,ITEM
CROPS,FRUIT IMPORTED,-,COCONUT (I),1,1.78,1.78,-,1.78,1.78,-,1.78,1.78,-,-,-,n.a.,R,R,R,TYPOLOGY
CROPS,FRUIT IMPORTED,-,EXOTIC FRUIT (I),1,2.43,2.43,-,2.43,2.43,-,2.43,2.43,-,-,-,n.a.,R,R,R,TYPOLOGY
CROPS,FRUIT IMPORTED,-,PINEAPPLE (I),7,0.73,0.55,0.50,0.17,1.78,0.15,0.43,0.89,0.69,1.084,3.035,0.213,Y,G,G,ITEM
CROPS,FRUIT IMPORTED,-,POMEGRANATE (I),1,1.17,1.17,-,1.17,1.17,-,1.17,1.17,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,FRUIT IMPORTED,-,STRAWBERRY (I),2,0.84,0.84,0.29,0.55,1.12,0.29,0.69,0.98,0.34,-,-,-,R,G,R,TYPOLOGY
CROPS,FRUIT NOT HEATED GREENHOUSE* (melon),-,MELON (g)*,4,1.41,1.43,0.11,1.24,1.55,0.06,1.38,1.46,0.08,-0.480,2.052,0.556,Y,G,G,ITEM
CROPS,FRUIT OPENFIELD,CITRUS FRUIT (SUB-TYP),CLEMENTINE,3,0.42,0.41,0.07,0.33,0.51,0.08,0.37,0.46,0.18,0.148,,0.865,R,G,R,TYPOLOGY
CROPS,FRUIT OPENFIELD,CITRUS FRUIT (SUB-TYP),LEMON,2,0.22,0.22,0.04,0.18,0.26,0.04,0.20,0.24,0.18,-,-,-,R,G,R,TYPOLOGY
CROPS,FRUIT OPENFIELD,CITRUS FRUIT (SUB-TYP),LIME,2,0.22,0.22,0.04,0.18,0.26,0.04,0.20,0.24,0.18,-,-,-,R,G,R,TYPOLOGY
CROPS,FRUIT OPENFIELD,CITRUS FRUIT (SUB-TYP),MANDARIN,7,0.40,0.45,0.11,0.22,0.51,0.06,0.31,0.49,0.27,-0.384,1.586,0.598,Y,G,G,ITEM
CROPS,FRUIT OPENFIELD,CITRUS FRUIT (SUB-TYP),ORANGE,31,0.35,0.30,0.16,0.18,0.87,0.07,0.25,0.42,0.44,1.594,5.371,0.000,G,G,R,ITEM
CROPS,FRUIT OPENFIELD,CITRUS FRUIT (SUB-TYP),POMELO,1,0.51,0.51,-,0.51,0.51,-,0.51,0.51,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,FRUIT OPENFIELD,CITRUS FRUIT (SUB-TYP),TANGERIN,2,0.38,0.38,0.13,0.26,0.51,0.13,0.32,0.45,0.33,-,-,-,R,G,R,TYPOLOGY
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",APPLE,59,0.31,0.25,0.17,0.06,0.95,0.07,0.20,0.38,0.54,1.831,6.818,0.000,G,G,R,ITEM
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",APRICOT,7,0.36,0.30,0.12,0.23,0.56,0.06,0.26,0.45,0.34,0.368,1.643,0.392,Y,G,G,ITEM
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",AVOCADO,4,0.54,0.54,0.22,0.25,0.84,0.19,0.39,0.69,0.40,0.033,1.631,0.967,Y,G,G,ITEM
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",BANANA,9,0.38,0.34,0.18,0.15,0.78,0.13,0.32,0.47,0.46,0.925,3.475,0.283,G,G,G,ITEM
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",CARROB,2,1.10,1.10,0.01,1.10,1.11,0.01,1.10,1.11,0.01,-,-,-,R,R,R,TYPOLOGY
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",CHERRY,7,0.49,0.46,0.19,0.26,0.88,0.09,0.39,0.52,0.38,0.994,3.307,0.274,Y,G,G,ITEM
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",FIG,3,0.31,0.26,0.09,0.23,0.43,0.02,0.25,0.34,0.28,0.667,,0.215,R,G,R,TYPOLOGY
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",GRAPES,15,0.39,0.31,0.22,0.15,0.88,0.10,0.27,0.42,0.55,1.352,3.816,0.005,G,G,R,ITEM
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",GUAVA,1,0.28,0.28,-,0.28,0.28,-,0.28,0.28,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",KIWI,12,0.65,0.49,0.42,0.27,1.61,0.21,0.33,0.84,0.64,1.082,3.225,0.046,G,G,Y,ITEM
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",MANGO,6,0.33,0.31,0.07,0.25,0.44,0.05,0.27,0.36,0.20,0.587,2.006,0.485,Y,G,G,ITEM
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",MELON,6,0.56,0.61,0.19,0.30,0.76,0.61,0.37,0.74,0.35,-0.287,1.324,0.111,Y,G,G,ITEM
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",PEACH,12,0.43,0.39,0.19,0.23,0.83,0.06,0.29,0.43,0.44,1.281,3.396,0.006,G,G,R,ITEM
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",PEAR,12,0.29,0.27,0.12,0.16,0.63,0.05,0.21,0.31,0.41,1.843,6.222,0.006,G,G,R,ITEM
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",PINEAPPLE,6,0.34,0.28,0.15,0.23,0.67,0.03,0.26,0.31,0.45,1.673,3.994,0.002,Y,G,R,ITEM or TYPOLOGY
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",PLUM,3,0.27,0.26,0.04,0.23,0.32,0.02,0.25,0.29,0.13,0.482,,0.523,R,G,R,TYPOLOGY
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",POMEGRANATE,3,0.45,0.32,0.21,0.29,0.74,0.03,0.30,0.53,0.46,0.693,,0.128,R,G,R,TYPOLOGY
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",ROCKMELON,1,0.39,0.39,-,0.39,0.39,-,0.39,0.39,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",WATERMELON,1,0.52,0.52,-,0.52,0.52,-,0.52,0.52,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,FRUIT OPENFIELD,OLIVES* (SUB-TYP),OLIVES,9,0.59,0.64,0.20,0.22,0.85,0.05,0.61,0.68,0.34,-0.854,2.478,0.059,G,G,G,ITEM
CROPS,FRUIT OPENFIELD,WILD BERRIES (SUB-TYP),BLACKBERRY,1,0.42,0.42,-,0.42,0.42,-,0.42,0.42,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,FRUIT OPENFIELD,WILD BERRIES (SUB-TYP),BLUEBERRY,8,0.64,0.78,0.29,0.19,0.97,0.15,0.39,0.86,0.45,-0.513,1.609,0.116,Y,G,G,ITEM
CROPS,FRUIT OPENFIELD,WILD BERRIES (SUB-TYP),CRANBERRY,3,0.90,0.87,0.05,0.86,0.97,0.01,0.87,0.92,0.06,0.686,,0.157,R,G,R,TYPOLOGY
CROPS,FRUIT OPENFIELD,WILD BERRIES (SUB-TYP),CURRANT,2,0.64,0.64,0.20,0.44,0.84,0.20,0.54,0.74,0.32,-,-,-,R,G,R,TYPOLOGY
CROPS,FRUIT OPENFIELD,WILD BERRIES (SUB-TYP),GOOSEBERRY,1,0.84,0.84,-,0.84,0.84,-,0.84,0.84,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,FRUIT OPENFIELD,WILD BERRIES (SUB-TYP),RASPBERRY,2,0.63,0.63,0.21,0.42,0.84,0.21,0.53,0.74,0.33,-,-,-,R,G,R,TYPOLOGY
CROPS,FRUIT OPENFIELD,WILD BERRIES (SUB-TYP),STRAWBERRY,27,0.68,0.61,0.33,0.20,1.50,0.26,0.39,0.90,0.49,0.567,2.824,0.220,G,G,G,ITEM
CROPS,GRAINS,-,BARLEY,17,0.53,0.48,0.25,0.11,1.11,0.14,0.34,0.62,0.47,0.761,2.992,0.219,G,G,G,ITEM
CROPS,GRAINS,-,MAIZE,7,0.79,0.48,0.50,0.40,1.64,0.08,0.43,1.09,0.64,0.888,1.899,0.007,Y,G,R,ITEM or TYPOLOGY
CROPS,GRAINS,-,MILLET,2,0.86,0.86,0.39,0.47,1.24,0.39,0.66,1.05,0.45,-,-,-,R,G,R,TYPOLOGY
CROPS,GRAINS,-,OAT,5,0.70,0.67,0.26,0.38,1.10,0.21,0.47,0.88,0.38,0.276,1.650,0.785,Y,G,G,ITEM
CROPS,GRAINS,-,QUINOA,12,0.96,0.97,0.19,0.53,1.20,0.16,0.86,1.13,0.19,-0.750,2.905,0.267,G,G,G,ITEM
CROPS,GRAINS,-,RYE,3,0.41,0.38,0.06,0.36,0.49,0.02,0.37,0.44,0.14,0.643,,0.274,R,G,R,TYPOLOGY
CROPS,GRAINS,-,SORGHUM,1,0.88,0.88,-,0.88,0.88,-,0.88,0.88,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,GRAINS,-,WHEAT,44,0.67,0.57,0.43,0.18,3.08,0.18,0.44,0.77,0.65,3.873,21.967,0.000,G,G,R,ITEM
CROPS,LEGUMES,-,BEAN,14,0.67,0.43,0.48,0.22,1.55,0.21,0.26,1.09,0.71,0.730,1.888,0.007,G,G,R,ITEM
CROPS,LEGUMES,-,CHICKPEA,3,0.67,0.77,0.16,0.45,0.80,0.03,0.61,0.79,0.24,-0.688,,0.148,R,G,R,TYPOLOGY
CROPS,LEGUMES,-,COWPEA,4,0.48,0.49,0.11,0.33,0.61,0.10,0.40,0.57,0.23,-0.132,1.431,0.761,Y,G,G,ITEM
CROPS,LEGUMES,-,GREEN BEAN (fresh),11,0.73,0.52,0.51,0.20,1.55,0.27,0.29,1.14,0.69,0.291,1.638,0.224,G,G,G,ITEM
CROPS,LEGUMES,-,LENTIL,2,1.03,1.03,0.03,1.00,1.06,0.03,1.02,1.05,0.03,-,-,-,R,G,R,TYPOLOGY
CROPS,LEGUMES,-,PEA,12,0.58,0.45,0.63,0.15,2.60,0.11,0.27,0.50,1.08,2.691,8.928,0.000,G,G,R,ITEM
CROPS,LEGUMES,-,SOYBEAN,5,0.60,0.56,0.22,0.38,1.01,0.10,0.46,0.61,0.36,1.012,2.661,0.272,Y,G,G,ITEM
CROPS,LEGUMES NOT HEATED GREENHOUSE (green bean),-,GREEN BEAN (fresh) (g)*,4,0.31,0.28,0.08,0.24,0.43,0.03,0.24,0.34,0.25,0.767,1.945,0.195,Y,G,G,ITEM
CROPS,MUSHROOM*,,MUSHROOM*,6,1.78,2.06,1.09,0.20,3.09,0.86,0.82,2.64,0.61,-0.355,1.538,0.393,Y,G,G,ITEM
CROPS,NUTS,-,ALMOND,13,1.90,1.88,0.94,0.51,3.71,0.73,1.11,2.61,0.50,0.248,2.113,0.835,G,G,G,ITEM
CROPS,NUTS,-,CASHEW NUT,11,1.56,1.38,0.92,0.35,3.44,0.84,0.86,2.25,0.59,0.456,2.353,0.580,G,G,G,ITEM
CROPS,NUTS,-,CHESTNUT,3,0.64,0.44,0.29,0.43,1.04,0.01,0.44,0.74,0.45,0.706,,0.027,R,G,R,TYPOLOGY
CROPS,NUTS,-,HAZELNUT,5,1.07,1.11,0.35,0.43,1.50,0.09,1.10,1.20,0.33,-0.816,2.660,0.327,Y,G,G,ITEM
CROPS,NUTS,-,MIXED NUTS,1,0.47,0.47,-,0.47,0.47,-,0.47,0.47,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,NUTS,-,PALM NUT,1,0.80,0.80,-,0.80,0.80,-,0.80,0.80,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,NUTS,-,PEANUT,10,0.89,0.83,0.30,0.28,1.35,0.12,0.80,1.05,0.34,-0.137,2.767,0.374,G,G,G,ITEM
CROPS,NUTS,-,PISTACHIO,4,1.60,1.60,0.65,0.88,2.33,0.65,0.99,2.21,0.41,0.003,1.056,0.160,Y,G,G,ITEM
CROPS,NUTS,-,WALNUT,5,1.75,2.06,0.88,0.63,3.03,0.97,0.89,2.13,0.50,0.046,1.610,0.575,Y,G,G,ITEM
CROPS,RICE*,-,RICE*,35,2.54,2.19,1.44,0.24,6.45,0.74,1.65,3.08,0.57,0.953,3.632,0.016,G,G,Y,ITEM
CROPS,SEEDS,-,RAPE SEED,3,1.05,0.78,0.76,0.29,2.09,0.49,0.54,1.44,0.72,0.491,,0.511,R,G,R,TYPOLOGY
CROPS,SEEDS,-,SESAM SEED,1,0.88,0.88,-,0.88,0.88,-,0.88,0.88,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,SEEDS,-,SUNFLOWER SEED,2,1.16,1.16,0.25,0.91,1.41,0.25,1.03,1.28,0.22,-,-,-,R,G,R,TYPOLOGY
CROPS,SPICIES,-,CHILLY,1,0.80,0.80,-,0.80,0.80,-,0.80,0.80,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,SPICIES,-,GINGER,1,0.88,0.88,-,0.88,0.88,-,0.88,0.88,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,STARCHY TUBERS,-,POTATO,35,0.25,0.24,0.10,0.08,0.45,0.07,0.18,0.33,0.39,0.065,2.248,0.597,G,G,G,ITEM
CROPS,STARCHY TUBERS,-,STARCHY ROOTS,2,0.29,0.29,0.05,0.24,0.34,0.05,0.27,0.32,0.17,-,-,-,R,G,R,TYPOLOGY
CROPS,STARCHY TUBERS,-,SWEET POTATO,3,0.35,0.27,0.14,0.24,0.55,0.04,0.25,0.41,0.40,0.673,,0.197,R,G,R,TYPOLOGY
CROPS,VEGETABLES HEATED GREENHOUSE,-,CUCUMBER (G),8,2.59,2.55,1.02,1.30,4.51,0.84,1.72,2.89,0.39,0.625,2.258,0.388,Y,G,G,ITEM
CROPS,VEGETABLES HEATED GREENHOUSE,-,GERKIN (G),4,2.52,2.12,0.74,2.04,3.79,0.04,2.09,2.54,0.29,1.149,2.329,0.005,Y,G,R,ITEM or TYPOLOGY
CROPS,VEGETABLES HEATED GREENHOUSE,-,LETTUCE (G),7,2.69,2.67,1.55,0.45,4.73,1.37,1.40,4.10,0.58,-0.010,1.483,0.513,Y,G,G,ITEM
CROPS,VEGETABLES HEATED GREENHOUSE,-,PEPPER (G),4,4.60,3.73,3.35,0.90,10.05,1.45,2.96,5.36,0.73,0.729,2.121,0.370,Y,G,G,ITEM
CROPS,VEGETABLES HEATED GREENHOUSE,-,TOMATO (G),36,2.89,2.43,1.31,1.16,6.12,0.71,1.94,3.66,0.45,0.868,2.943,0.009,G,G,R,ITEM
CROPS,VEGETABLES NOT HEATED GREENHOUSE,-,CUCUMBER (g),1,0.32,0.32,-,0.32,0.32,-,0.32,0.32,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,VEGETABLES NOT HEATED GREENHOUSE,-,EGGPLANT (g),1,2.90,2.90,-,2.90,2.90,-,2.90,2.90,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,VEGETABLES NOT HEATED GREENHOUSE,-,PEPPER (g),2,1.18,1.18,0.08,1.10,1.25,0.08,1.14,1.21,0.06,-,-,-,R,G,R,TYPOLOGY
CROPS,VEGETABLES NOT HEATED GREENHOUSE,-,TOMATO (g),28,0.94,0.91,0.56,0.20,2.14,0.45,0.44,1.28,0.60,0.590,2.349,0.065,G,G,G,ITEM
CROPS,VEGETABLES NOT HEATED GREENHOUSE,-,ZUCCHINI (g),2,1.77,1.77,0.17,1.60,1.94,0.17,1.69,1.86,0.10,-,-,-,R,G,R,TYPOLOGY
CROPS,VEGETABLES OPENFIELD,ASPARAGUS* (SUB-TYP),ASPARAGUS,33,0.97,0.83,0.48,0.38,2.68,0.22,0.63,1.14,0.50,1.507,5.605,0.001,G,G,R,ITEM
CROPS,VEGETABLES OPENFIELD,GREEN LEAFY VEGETABLES (SUB TYP),CABAGGE,9,0.30,0.23,0.15,0.12,0.64,0.11,0.21,0.37,0.49,1.043,3.418,0.154,G,G,G,ITEM
CROPS,VEGETABLES OPENFIELD,GREEN LEAFY VEGETABLES (SUB TYP),LETTUCE,27,0.40,0.41,0.15,0.13,0.62,0.09,0.30,0.50,0.37,-0.194,1.993,0.264,G,G,G,ITEM
CROPS,VEGETABLES OPENFIELD,GREEN LEAFY VEGETABLES (SUB TYP),SPINACH,4,0.48,0.34,0.32,0.18,0.93,0.16,0.26,0.63,0.67,-0.081,1.111,0.172,Y,G,G,ITEM
CROPS,VEGETABLES OPENFIELD,ROOTS & BULBS (SUB-TYP),BEETROOT,2,0.25,0.25,0.14,0.11,0.38,0.14,0.18,0.31,0.55,-,-,-,R,G,R,TYPOLOGY
CROPS,VEGETABLES OPENFIELD,ROOTS & BULBS (SUB-TYP),CARROT,16,0.23,0.24,0.12,0.04,0.45,0.10,0.13,0.33,0.54,0.224,1.925,0.612,G,G,G,ITEM
CROPS,VEGETABLES OPENFIELD,ROOTS & BULBS (SUB-TYP),GARLIC,3,0.67,0.71,0.07,0.57,0.74,0.04,0.64,0.73,0.11,-0.587,,0.377,R,G,R,TYPOLOGY
CROPS,VEGETABLES OPENFIELD,ROOTS & BULBS (SUB-TYP),ONION,12,0.24,0.22,0.14,0.06,0.52,0.12,0.13,0.34,0.58,0.396,2.151,0.409,G,G,G,ITEM
CROPS,VEGETABLES OPENFIELD,ROOTS & BULBS (SUB-TYP),RADISH,1,0.15,0.15,-,0.15,0.15,-,0.15,0.15,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,VEGETABLES OPENFIELD,ROOTS & BULBS (SUB-TYP),SWEDE,1,0.29,0.29,-,0.29,0.29,-,0.29,0.29,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,VEGETABLES OPENFIELD,ROOTS & BULBS (SUB-TYP),TURNIP,2,0.35,0.35,0.00,0.35,0.35,0.00,0.35,0.35,0.00,-,-,-,R,G,R,TYPOLOGY
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",ARTICHOKE,1,0.33,0.33,-,0.33,0.33,-,0.33,0.33,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",BROCCOLI,19,0.67,0.57,0.36,0.22,1.87,0.12,0.48,0.70,0.53,2.003,7.255,0.001,G,G,R,ITEM
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",CAULIFLOWER,6,0.32,0.31,0.13,0.09,0.52,0.08,0.27,0.40,0.42,-0.185,2.301,0.951,Y,G,G,ITEM
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",CELERY,1,0.32,0.32,-,0.32,0.32,-,0.32,0.32,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",CUCUMBER,15,0.32,0.27,0.16,0.08,0.80,0.07,0.22,0.38,0.52,1.562,5.760,0.027,G,G,Y,ITEM
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",EGGPLANT,5,0.45,0.19,0.44,0.10,1.30,0.10,0.19,0.50,0.98,0.842,2.045,0.262,Y,G,G,ITEM
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",FENNEL,1,0.48,0.48,-,0.48,0.48,-,0.48,0.48,-,-,-,n.a.,R,G,R,TYPOLOGY
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",GERKIN,7,0.23,0.21,0.06,0.13,0.33,0.05,0.19,0.28,0.28,0.114,1.941,0.955,Y,G,G,ITEM
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",PEPPER,8,0.58,0.65,0.23,0.19,0.87,0.22,0.37,0.71,0.40,-0.278,1.827,0.623,Y,G,G,ITEM
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",PUMPKIN,12,0.38,0.24,0.35,0.09,1.31,0.08,0.16,0.47,0.90,1.600,4.543,0.003,G,G,R,ITEM
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",TOMATO,68,0.48,0.45,0.30,0.15,2.29,0.10,0.35,0.56,0.61,2.324,14.265,0.000,G,G,R,ITEM
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",VEGETABLES,4,0.69,0.54,0.53,0.19,1.51,0.31,0.25,0.98,0.76,0.590,1.759,0.392,Y,G,G,ITEM
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",ZUCCHINI,8,0.65,0.70,0.42,0.09,1.31,0.41,0.22,0.98,0.64,0.036,1.626,0.539,Y,G,G,ITEM
FISHING,FISH,-,ALFONSINO,1,3.49,3.49,-,3.49,3.49,-,3.49,3.49,-,-,-,n.a.,R,G,R,TYPOLOGY
FISHING,FISH,-,ANCHOVY,6,0.81,0.82,0.03,0.77,0.86,0.02,0.79,0.83,0.04,-0.257,1.864,0.833,Y,G,G,ITEM
FISHING,FISH,-,ANGLERFISH,2,12.29,12.29,1.86,10.43,14.15,1.86,11.36,13.22,0.15,-,-,-,R,G,R,TYPOLOGY
FISHING,FISH,-,CARP,3,1.80,1.76,0.09,1.73,1.93,0.04,1.74,1.84,0.05,0.621,,0.318,R,G,R,TYPOLOGY
FISHING,FISH,-,CATFISH,1,8.93,8.93,-,8.93,8.93,-,8.93,8.93,-,-,-,n.a.,R,G,R,TYPOLOGY
FISHING,FISH,-,COD,22,3.29,3.08,1.36,1.25,5.88,1.05,2.27,4.38,0.41,0.391,1.908,0.156,G,G,G,ITEM
FISHING,FISH,-,DIAMOND FISH,3,7.56,6.02,2.18,6.02,10.65,0.00,6.02,8.33,0.29,0.707,,0.000,R,G,R,TYPOLOGY
FISHING,FISH,-,EEL,1,3.88,3.88,-,3.88,3.88,-,3.88,3.88,-,-,-,n.a.,R,G,R,TYPOLOGY
FISHING,FISH,-,FISH MIXED,6,4.01,4.99,2.11,0.27,6.22,0.86,2.75,5.45,0.53,-0.751,2.015,0.237,Y,G,G,ITEM
FISHING,FISH,-,FLATFISH,2,6.41,6.41,5.21,1.20,11.61,5.21,3.80,9.01,0.81,-,-,-,R,G,R,TYPOLOGY
